country,cluster,cluster_name,renewable_percent,fossil_percent,ghg_per_capita,energy_per_capita
United States,2,Fossil Dependent,10.116,82.05,5.174690024681751,76307.383
Uruguay,1,Fossil Dependent,7.152,87.331,0.7095136357627846,13325.694
Uzbekistan,1,Fossil Dependent,2.167,97.833,2.4001497969144454,16818.205
Vanuatu,1,Fossil Dependent,7.152,87.331,0.13076938165697882,3738.69
Venezuela,0,Transitioning Nations,28.157,71.843,0.5117248740430833,21392.791
Vietnam,1,Fossil Dependent,22.16,77.84,1.2177679992462938,12365.529
Western Sahara,1,Fossil Dependent,7.152,87.331,0.1074065786529425,1962.096
Yemen,1,Fossil Dependent,7.152,87.331,0.04631096293038972,863.311
Zambia,1,Fossil Dependent,7.152,87.331,0.07855695966202143,2106.333
Zimbabwe,1,Fossil Dependent,7.152,87.331,0.14622826041544018,2382.434
